episode,reward,avg_reward,actor_loss,critic_loss,entropy,episode_length,success,collision,timeout,learning_rate,avg_value_estimate
0,-109.01151838710068,-109.01151838710068,0.0,0.0,0.0,601,0,0,1,0.0003,0.0
1,-197.05773092830438,-153.03462465770252,0.012807624560082331,42.28462876081467,1.8597200885415077,579,0,1,0,0.0002999990333333333,-9.103047115937807
2,-117.2613854057159,-141.11021157370698,0.012807624560082331,42.28462876081467,1.8597200885415077,364,0,1,0,0.0002999990333333333,-9.103047115937807
3,-123.31951721559284,-136.66253798417844,0.012807624560082331,42.28462876081467,1.8597200885415077,480,0,1,0,0.0002999990333333333,-9.103047115937807
4,-71.18840779094901,-123.56771194553255,-0.005046023364411667,12.600508606433868,1.8885343864560127,601,0,0,1,0.00029999806666666665,-12.043891835212708
5,-59.413181386575104,-112.8752901857063,-0.0004238157707732171,0.916644373908639,1.8820559792220592,601,0,0,1,0.00029999709999999996,-2.4237082455307246
6,-66.61182232554468,-106.26622334854036,-0.0004238157707732171,0.916644373908639,1.8820559792220592,267,0,1,0,0.00029999709999999996,-2.4237082455307246
7,-83.19879091858282,-103.38279429479567,-0.0004238157707732171,0.916644373908639,1.8820559792220592,377,0,1,0,0.00029999709999999996,-2.4237082455307246
8,-79.04026447075778,-100.67806875879145,-0.006612393504474312,1.927253182977438,1.8499810323119164,228,0,1,0,0.0002999961333333333,-6.237619829177857
